SOC,Title,Task
11-9051.00,Food Service Managers,"Greet guests, escort them to their seats, and present them with menus and wine lists."
11-9051.00,Food Service Managers,"Establish and enforce nutritional standards for dining establishments, based on accepted industry standards."
11-9051.00,Food Service Managers,"Plan menus and food utilization, based on anticipated number of guests, nutritional value, palatability, popularity, and costs."
11-9051.00,Food Service Managers,Create specialty dishes and develop recipes to be used in dining facilities.
11-9051.00,Food Service Managers,Take dining reservations.
11-9051.00,Food Service Managers,"Schedule use of facilities or catering services for events such as banquets or receptions, and negotiate details of arrangements with clients."
11-9081.00,Lodging Managers,Greet and register guests.
11-9081.00,Lodging Managers,"Answer inquiries pertaining to hotel policies and services, and resolve occupants' complaints."
11-9081.00,Lodging Managers,"Assign duties to workers, and schedule shifts."
11-9081.00,Lodging Managers,"Coordinate front-office activities of hotels or motels, and resolve problems."
11-9081.00,Lodging Managers,"Participate in financial activities, such as the setting of room rates, the establishment of budgets, and the allocation of funds to departments."
11-9081.00,Lodging Managers,Confer and cooperate with other managers to ensure coordination of hotel activities.
11-9081.00,Lodging Managers,Manage and maintain temporary or permanent lodging facilities.
11-9081.00,Lodging Managers,Observe and monitor staff performance to ensure efficient operations and adherence to facility's policies and procedures.
11-9081.00,Lodging Managers,Train staff members.
11-9081.00,Lodging Managers,"Show, rent, or assign accommodations."
11-9081.00,Lodging Managers,Develop and implement policies and procedures for the operation of a department or establishment.
11-9081.00,Lodging Managers,"Inspect guest rooms, public areas, and grounds for cleanliness and appearance."
11-9081.00,Lodging Managers,Prepare required paperwork pertaining to departmental functions.
11-9081.00,Lodging Managers,Interview and hire applicants.
11-9081.00,Lodging Managers,"Purchase supplies, and arrange for outside services, such as deliveries, laundry, maintenance and repair, and trash collection."
11-9081.00,Lodging Managers,"Arrange telephone answering services, deliver mail and packages, or answer questions regarding locations for eating and entertainment."
11-9081.00,Lodging Managers,Perform marketing and public relations activities.
11-9081.00,Lodging Managers,Organize and coordinate the work of staff and convention personnel for meetings to be held at a particular facility.
11-9081.00,Lodging Managers,"Receive and process advance registration payments, mail letters of confirmation, or return checks when registrations cannot be accepted."
11-9081.00,Lodging Managers,"Meet with clients to schedule and plan details of conventions, banquets, receptions and other functions."
11-9081.00,Lodging Managers,"Provide assistance to staff members by inspecting rooms, setting tables, or doing laundry."
11-9081.00,Lodging Managers,Book tickets for guests for local tours and attractions.
11-9151.00,Social and Community Service Managers,Establish and maintain relationships with other agencies and organizations in community to meet community needs and to ensure that services are not duplicated.
11-9151.00,Social and Community Service Managers,"Prepare and maintain records and reports, such as budgets, personnel records, or training manuals."
11-9151.00,Social and Community Service Managers,Direct activities of professional and technical staff members and volunteers.
11-9151.00,Social and Community Service Managers,Evaluate the work of staff and volunteers to ensure that programs are of appropriate quality and that resources are used effectively.
11-9151.00,Social and Community Service Managers,Establish and oversee administrative procedures to meet objectives set by boards of directors or senior management.
11-9151.00,Social and Community Service Managers,"Participate in the determination of organizational policies regarding such issues as participant eligibility, program requirements, and program benefits."
11-9151.00,Social and Community Service Managers,Research and analyze member or community needs to determine program directions and goals.
11-9151.00,Social and Community Service Managers,"Speak to community groups to explain and interpret agency purposes, programs, and policies."
11-9151.00,Social and Community Service Managers,"Recruit, interview, and hire or sign up volunteers and staff."
11-9151.00,Social and Community Service Managers,Represent organizations in relations with governmental and media institutions.
